Asset_ID;Museum_artefact_ID;Museum_ID;Chrono_ID;Region_ID;Absolute_dating;Absolute_info;Phase_ID;Site_ID;Context;Type_ID;Shape;Colour;Surface_treatment;Height;Rim_diameter;Base_diameter;Thickness;Touch;Decoration;Aspect_ratio;Description;Comment;Asset_bib;Reference;Problem
Asset0001;75:332b;Muse0001;Chrono0019;REG0001;5450-5325;meller_chronologie_2021 ;Phase0001;Site0001;Ditch;Type0001;bell;blackish;;104;149;NA;NA;;Between each eyelet (thus 3 in total), a wide vertical groove above and below the handles.;NA;The butt with a slightly recessed muzzle and with a flattened base and three vertically pierced knobs, two of them completed. Between the lugs in each case one (i.e. 3 in total) saddle spiral above and below the handle lugs a broad vertical incised line extending to the base of the stand. Blackish with yellowish stain, lightly leached with fine sand. ;;meller_chronologie_2021|Halle museum;Meller 2021, p. 51, 1;NA
Asset0002;8973;Muse0001;Chrono0020;REG0001;5325-5200;meller_chronologie_2021 ;Phase0002;Site0002;Settlement;Type0002;spherical;light grey;;87.5;105;87.5;NA;;Ribbon;NA;"mall vessel of spherical form without base, neck steeper. With ribbon decoration. Colour: light grey; Tone: fine Height";;meller_chronologie_2021|Halle museum;Meller 2021, p. 51, 3;
Asset0003;36:137b;Muse0001;Chrono0020;REG0001;5075-5000;meller_chronologie_2021 ;Phase0003;Site0003;Settlement;Type0005;;reddish yellow, blackish brown;;72;90;60;NA;;spiral-shaped bands filled with rows of stitches;NA;Fragment of a small vessel without a base. Decorated with spiral-shaped bands filled with rows of stitches. 2 circumferential dotted lines on the neck. Colour: reddish yellow at the base, blackish brown towards the top;;meller_chronologie_2021|Halle museum|kaufmann_wirtschaft_1976;Meller 2021, p. 51, 7;NA
Asset0004;18:475;Muse0001;Chrono0020;REG0001;5000-4875;meller_chronologie_2021 ;Phase0003;Site0004;;Type0006;;;;NA;NA;NA;NA;;;NA;;;meller_chronologie_2021|Halle museum;Meller 2021, p. 51, 8;NA
Asset0005;19:1165;Muse0001;Chrono0021;REG0001;4800-4650;meller_chronologie_2021 ;Phase0004;Site0005;;Type0014;;;;165;110;NA;NA;;decoration in rows of dots;NA;Ceramic band. Container without foot with decoration in rows of dots;;butschkow_notitle_1935|meller_chronologie_2021|Halle museum ;Meller 2021, p. 56, 6;NA
Asset0006;31:267;Muse0001;Chrono0022;REG0001;4575-4425;meller_chronologie_2021 ;Phase0005;Site0006;Grave;Type0017;spherical;dark with red mica;;116;115;93;NA;;Undecorated;NA;Spherical vessel with a sharp belly break and a curved top. Undecorated. Yellow-brown interior, surface dark with red mica flakes;;meller_chronologie_2021|Halle museum|schuchardt_notitle_1910;Meller 2021, p. 58, 12;NA
Asset0007;20:529;Muse0001;Chrono0023;REG0001;4525-4475;meller_chronologie_2021 ;Phase0005;Site0007;Single find;Type0020;double conical;grey-black;;109;76;46;NA;;Undecorated;NA;Vessel made of grey-black clay. Upper rim of the vessel grooved, otherwise undecorated. Rather long conical neck. Double conical from neck to base;;meller_chronologie_2021|Halle museum;Meller 2021, p. 61, 2;NA
Asset0008;28:28b;Muse0001;Chrono0023;REG0001;4375-4250;meller_chronologie_2021 ;Phase0006;Site0008;Grave;Type0022;;grey-yellow;;150;126;66;NA;;2 cord eyelets at the beginning of the high rim facing outwards;NA;Larger clay cup with 2 cord eyelets at the beginning of the high rim facing outwards, sloping shoulder, partly sharp break. Colour grey-yellow and black-spotted. The cup is composed of shards and completed.;;meller_chronologie_2021|Halle museum;Meller 2021, p. 61, 4;NA
Asset0009;16:1985;Muse0001;Chrono0025;REG0001;3800-3650;meller_chronologie_2021 ;Phase0007;Site0009;Grave;Type0027;bowl;brown-grey;;142.5;66;57.5;NA;;oblique above the indentations in groups of 3 small round impressions;NA;Small bowl-shaped vessel decorated with oblique above the indentations in groups of 3 small round impressions. (The bowl (The bowl stood next to the skull), on one side a very small hump on the rim, bottom slightly damaged. Colour: brown-grey, spotty Clay: finely hard fired Height: 4.5 cm. Gr. Diameter: 7 cm. 1st opening: 5,7 cm. Base diameter: 3,5 cm. 1985) Medium sized amphora-like vessel with 4 handles on the belly, 3,5 cm high neck vertical, slightly slightly damaged. Colour: grey partly covered with light incrustation. Clay: fine, hard fired;;meller_chronologie_2021|Halle museum;Meller 2021, p. 67, 2;NA
Asset0010;16:302a;Muse0001;Chrono0025;REG0001;3525-3375;meller_chronologie_2021 ;Phase0008;Site0010;Single find;Type0029;amphora;dark grey;;170;96;46;NA;;horizontally band of short vertical incisions around the rim: between the neck and the belly a and vertical bands in the same style, reaching down to the middle of the belly;NA;"1 amphora - decorated - with 4 handles on the belly, almost cylindr. neck and rounded. deoppelkonischer belly, with narrow base; on the edge with a horizontally band of short vertical incisions around the rim: between the neck and the belly a and vertical bands in the same style, reaching down to the middle of the belly. the bands even run out onto the 4 ears, the ornaments filled with white. white filling. Dark grey clay.";;meller_chronologie_2021|Halle museum|preuss_neolithikum_1996;Meller 2021, p. 67, 4;NA
