,Asset0032.tif,Asset0044.tif,Asset0049.tif,Asset0005.tif,Asset0037.tif,Asset0006.tif,Asset0017.tif,Asset0022.tif,Asset0008.tif,Asset0034.tif,Asset0015.tif,Asset0045.tif,Asset0028.tif,Asset0040.tif,Asset0050.tif,Asset0036.tif,Asset0031.tif,Asset0002.tif,Asset0001.tif,Asset0033.tif,Asset0009.tif,Asset0026.tif,Asset0010.tif,Asset0024.tif,Asset0035.tif,Asset0042.tif,Asset0018.tif,Asset0048.tif,Asset0043.tif,Asset0030.tif,Asset0014.tif,Asset0004.tif,Asset0020.tif,Asset0041.tif,Asset0016.tif,Asset0047.tif,Asset0039.tif,Asset0027.tif,Asset0003.tif,Asset0011.tif,Asset0021.tif,Asset0029.tif,Asset0012.tif,Asset0007.tif,Asset0046.tif
ES0001_S003_PC_EM,0.42857142857142855,0.0,0.29411764705882354,0.1111111111111111,0.125,-0.2631578947368421,0.3333333333333333,-0.2222222222222222,0.23809523809523808,-0.2727272727272727,0.14285714285714285,0.2727272727272727,0.1111111111111111,0.3,0.625,-0.1111111111111111,0.4444444444444444,-0.1111111111111111,0.2,0.05263157894736842,0.125,0.08333333333333333,0.15789473684210525,-0.1111111111111111,-0.1111111111111111,0.7333333333333333,0.6190476190476191,0.18181818181818182,0.14285714285714285,0.4117647058823529,-0.23809523809523808,-0.2,-0.05263157894736842,0.17647058823529413,-0.2631578947368421,0.1111111111111111,0.14285714285714285,0.125,0.12,-0.058823529411764705,-0.058823529411764705,-0.1,0.23809523809523808,0.1111111111111111,0.05263157894736842
ES0001_S004_PC_EM,0.28,0.037037037037037035,0.3,0.4782608695652174,0.5555555555555556,0.3333333333333333,0.68,-0.3333333333333333,0.9047619047619048,0.6923076923076923,0.1111111111111111,0.3333333333333333,0.5789473684210527,-0.1111111111111111,0.6296296296296297,-0.09090909090909091,0.3333333333333333,0.15384615384615385,0.16666666666666666,0.6,0.0,-0.30434782608695654,0.16666666666666666,0.7272727272727273,0.1111111111111111,0.2,0.7333333333333333,0.30434782608695654,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.625,0.68,0.23809523809523808,0.5789473684210527,0.7333333333333333,0.18181818181818182,0.16666666666666666,0.21739130434782608,0.21739130434782608,0.3333333333333333,-0.09090909090909091,0.25,0.4444444444444444,0.47368421052631576
ES0001_S005_PC_EM,0.45454545454545453,0.3,0.1,0.23809523809523808,0.6470588235294118,0.18181818181818182,0.6470588235294118,-0.5,0.5294117647058824,0.47368421052631576,0.2,0.3333333333333333,0.14285714285714285,0.5555555555555556,0.2222222222222222,0.21739130434782608,0.047619047619047616,0.23809523809523808,0.2,0.29411764705882354,0.5789473684210527,0.3,-0.47368421052631576,0.6470588235294118,0.5454545454545454,0.7,0.42857142857142855,0.29411764705882354,0.14285714285714285,0.6190476190476191,0.36363636363636365,0.07692307692307693,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3,0.7142857142857143,0.375,0.14285714285714285,0.05263157894736842,0.36363636363636365,0.0,0.3333333333333333,-0.06666666666666667,-0.3333333333333333
ES0001_S008_PC_EM,0.29411764705882354,-0.42857142857142855,-0.21739130434782608,0.21739130434782608,0.5238095238095238,0.3333333333333333,0.7,-0.36,0.391304347826087,0.4782608695652174,0.5454545454545454,0.5454545454545454,0.38461538461538464,0.4166666666666667,0.7391304347826086,-0.09090909090909091,0.42857142857142855,0.4782608695652174,0.0,0.6,-0.16666666666666666,-0.42857142857142855,0.44,0.5555555555555556,0.25,0.3333333333333333,0.5,0.0,-0.04,0.8,0.30434782608695654,0.23809523809523808,0.44,0.4,0.28,-0.04,0.8260869565217391,0.043478260869565216,0.09090909090909091,0.6190476190476191,0.5,0.28,0.18181818181818182,0.38461538461538464,0.0
ES0001_S009_PC_EM,0.6666666666666666,0.17647058823529413,0.09090909090909091,0.4444444444444444,0.5,0.125,0.42857142857142855,-0.75,0.5294117647058824,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.8571428571428571,0.2631578947368421,-0.05263157894736842,-0.05263157894736842,0.0,-0.1,0.5789473684210527,0.2222222222222222,0.0,-0.4,0.36363636363636365,0.3684210526315789,0.42857142857142855,0.6842105263157895,-0.1111111111111111,0.2222222222222222,0.2631578947368421,0.5789473684210527,0.29411764705882354,0.6842105263157895,0.45454545454545453,0.09090909090909091,0.15789473684210525,0.15789473684210525,-0.09090909090909091,0.5,0.6842105263157895,0.1,0.42857142857142855,-0.42857142857142855,0.5789473684210527,-0.125
ES0001_S010_PC_EM,0.23809523809523808,-0.23809523809523808,0.47368421052631576,-0.09090909090909091,0.3,0.3333333333333333,0.2631578947368421,-0.2727272727272727,-0.2631578947368421,-0.14285714285714285,0.4,0.1111111111111111,0.2631578947368421,-0.1111111111111111,0.05263157894736842,0.1,-0.47368421052631576,-0.3333333333333333,0.23809523809523808,0.0,-0.4,0.25,-0.1,0.6521739130434783,0.45454545454545453,0.42857142857142855,0.45454545454545453,-0.058823529411764705,0.13043478260869565,0.5,-0.16666666666666666,0.23809523809523808,-0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3333333333333333,0.30434782608695654,-0.09090909090909091,0.2631578947368421,0.2,0.13043478260869565,-0.1,0.18181818181818182,0.15789473684210525
ES0001_S012_PC_EM,0.4444444444444444,0.04,0.2631578947368421,0.21739130434782608,0.058823529411764705,0.09090909090909091,0.5294117647058824,-0.3,0.18181818181818182,0.5,0.2222222222222222,0.3684210526315789,0.058823529411764705,0.2,0.3,-0.5294117647058824,0.2222222222222222,-0.05263157894736842,0.28,0.14285714285714285,0.5555555555555556,-0.3333333333333333,-0.058823529411764705,0.375,0.42857142857142855,0.8,0.4117647058823529,0.18181818181818182,0.4,0.1111111111111111,0.47368421052631576,0.047619047619047616,0.5,0.1111111111111111,0.5,-0.5454545454545454,0.42857142857142855,0.25,0.15789473684210525,0.4444444444444444,0.6666666666666666,0.2631578947368421,0.30434782608695654,-0.1111111111111111,0.047619047619047616
ES0001_S013_PC_EM,0.5652173913043478,-0.047619047619047616,0.047619047619047616,0.36363636363636365,0.45454545454545453,0.08333333333333333,0.16666666666666666,-0.38461538461538464,0.68,0.8260869565217391,0.2631578947368421,0.28,0.25,0.391304347826087,0.38461538461538464,-0.48148148148148145,0.47368421052631576,-0.14285714285714285,0.04,0.2,0.23076923076923078,0.23076923076923078,0.0,0.75,0.3,0.7,0.38461538461538464,0.52,0.2222222222222222,0.8,0.52,0.25,0.23809523809523808,0.7391304347826086,0.68,-0.6190476190476191,0.6190476190476191,0.5652173913043478,0.0,0.7272727272727273,0.45454545454545453,-0.05263157894736842,0.21739130434782608,0.6363636363636364,0.0
ES0001_S015_PC_EM,0.45454545454545453,0.3,0.1,0.23809523809523808,0.6470588235294118,0.18181818181818182,0.6470588235294118,-0.5,0.5294117647058824,0.47368421052631576,0.2,0.3333333333333333,0.14285714285714285,0.5555555555555556,0.2222222222222222,0.21739130434782608,0.047619047619047616,0.23809523809523808,0.2,0.29411764705882354,0.5789473684210527,0.3,-0.47368421052631576,0.6470588235294118,0.5454545454545454,0.7,0.42857142857142855,0.29411764705882354,0.14285714285714285,0.6190476190476191,0.36363636363636365,0.07692307692307693,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3,0.7142857142857143,0.375,0.14285714285714285,0.05263157894736842,0.36363636363636365,0.0,0.3333333333333333,-0.06666666666666667,-0.3333333333333333
ES0001_S017_PC_EM,0.6,0.5238095238095238,-0.1111111111111111,-0.1,0.5454545454545454,0.25,0.125,-0.36363636363636365,0.0,0.5555555555555556,0.4782608695652174,0.4,0.1,0.18181818181818182,0.36363636363636365,0.25,0.4117647058823529,0.0,0.043478260869565216,0.2631578947368421,0.047619047619047616,0.5,-0.06666666666666667,0.5,0.1111111111111111,0.36363636363636365,0.15789473684210525,0.058823529411764705,-0.23809523809523808,0.05263157894736842,0.5789473684210527,-0.3,0.3333333333333333,-0.14285714285714285,0.047619047619047616,0.2727272727272727,0.058823529411764705,0.6,0.2222222222222222,0.2727272727272727,0.6,0.125,-0.2,0.2727272727272727,0.05263157894736842
