,Baseline,Latency_a,Latency_b,T2MaxVel,T2MaxCon,T2Rec75pc,PeakCon,ConAmplitude,VelConMax,VelConAve,AccConMax,ConTime,VelRedAve,VelRedMax,AccRedMax,type
ES0001_S004_PC_EM,3.073493442826958,0.34146341463414637,0.3008130081300813,0.3902439024390244,0.9674796747967481,2.5447154471544717,2.8493804139114514,0.22411302891550644,0.7454534309948996,0.3150822165430274,5.581662267980686,0.6260162601626018,0.06612882239019408,0.2233543454956237,2.31123992161298,asset
ES0001_S006_PC_EM,3.360387569540954,0.6178861788617886,0.28455284552845533,0.5772357723577236,4.878048780487806,0.0,3.1613183977017107,0.19906917183924344,0.4335547000776376,0.09790626474667302,7.183460825288133,4.260162601626017,0.2607650584732047,0.4066022021297803,6.359510133476679,asset
ES0001_S011_PC_EM,3.5365589812553875,0.34959349593495936,0.28455284552845533,0.39837398373983746,0.7235772357723578,1.024390243902439,3.3781720004193674,0.1583869808360201,0.5873853625960023,0.3300180959208493,3.7679433048848896,0.3739837398373984,0.047858844755164304,0.2234612832601339,1.371410521991595,asset
ES0001_S018_PC_EM,4.809548775544754,0.3170731707317074,0.22764227642276424,0.4390243902439025,1.3414634146341464,0.0,4.399481717051293,0.41006705849346137,0.8028584116513259,0.3687302437986094,4.408627625889917,1.024390243902439,0.10057936571290994,0.2598271814929811,2.307521125178639,asset
ES0001_S019_PC_EM,3.60345960025221,0.0,0.4471544715447155,0.5365853658536586,0.6666666666666667,0.20325203252032523,3.5815093036279557,0.021950296624254406,0.2564754932411888,0.09114289532027706,2.670596319486639,0.6666666666666667,0.06522092540177135,0.27043839702324973,2.1480323806058914,asset
ES0001_S022_PC_EM,2.6379572484720675,0.47154471544715454,0.3902439024390244,0.49593495934959353,3.617886178861789,0.0,2.4980652037104827,0.1398920447615848,0.4250970365437387,0.054893870166571365,2.7733028179264148,3.1463414634146343,0.02354974606915957,0.06937859917715049,0.8528873408165263,asset
ES0001_S004_PC_EM,3.2328249164291165,0.21951219512195125,0.3008130081300813,0.40650406504065045,1.3089430894308944,0.0,2.7342985554204517,0.49852636100866476,1.529671959834509,0.4304973764384581,11.76126318601394,1.0894308943089432,0.14204731888427788,0.41552304744507923,5.466672940902518,surprise
ES0001_S006_PC_EM,3.5154618686324604,0.3902439024390244,0.9837398373983741,0.47154471544715454,2.0650406504065044,0.0,3.002724735721192,0.5127371329112682,1.1198001927344847,0.3960808385036164,30.909277366187926,1.6747967479674801,0.2617575647735325,1.8860976484324798,35.76088627866241,surprise
ES0001_S011_PC_EM,3.5587536507591113,0.15447154471544716,0.3008130081300813,0.4308943089430895,0.7317073170731708,0.0,3.1174005302473375,0.4413531205117738,1.3514972537466814,0.7118179184388866,7.932609935608609,0.5772357723577237,0.14096599829437845,0.9569814964103472,21.074509730554198,surprise
ES0001_S018_PC_EM,4.971390520830134,0.2601626016260163,0.3170731707317074,0.4308943089430895,1.747967479674797,0.0,3.8991151278410623,1.0722753929890718,2.075862939862649,0.6999647284545131,12.711857469743931,1.4878048780487807,0.19184028061006445,0.5336004515995175,4.4626844089725175,surprise
ES0001_S019_PC_EM,3.634521037133284,0.3577235772357724,0.3821138211382114,0.4634146341463415,0.6991869918699187,0.6260162601626017,3.415967746856114,0.21855329027716985,0.8099377454464117,0.5235555471634845,4.9925581477589365,0.3414634146341463,0.17057479788042454,0.48564468757335083,3.899298517517876,surprise
ES0001_S022_PC_EM,2.68396582490768,0.3658536585365854,0.33333333333333337,0.4390243902439025,0.8130081300813009,0.0,2.389651567856215,0.29431425705146497,1.0340423495246318,0.599729140288292,6.746189244912776,0.4471544715447155,0.1201555350350259,0.3199751511544728,4.22931095502723,surprise
